Borough,Date,Consumption_KWH
BRONX,2021-01-01,24747982.0
BRONX,2021-02-01,21503857.0
BRONX,2021-03-01,20692175.0
BRONX,2021-04-01,21424289.0
BRONX,2021-05-01,20748428.0
BRONX,2021-06-01,26845332.0
BRONX,2021-07-01,33006942.0
BRONX,2021-08-01,36462677.0
BRONX,2021-09-01,29853273.0
BRONX,2021-10-01,23251802.0
BRONX,2021-11-01,23202416.0
BRONX,2021-12-01,23087870.0
BRONX,2022-01-01,24642780.0
BRONX,2022-02-01,21789323.0
BRONX,2022-03-01,20881563.0
BRONX,2022-04-01,22073273.0
BRONX,2022-05-01,20869395.0
BRONX,2022-06-01,24777647.0
BRONX,2022-07-01,36620398.0
BRONX,2022-08-01,34421270.0
BRONX,2022-09-01,29946376.0
BRONX,2022-10-01,23008409.0
BRONX,2022-11-01,21522625.0
BRONX,2022-12-01,22862967.0
BRONX,2023-01-01,18574554.0
BRONX,2023-02-01,18609729.0
BRONX,2023-03-01,17169627.0
BRONX,2023-04-01,16180649.0
BRONX,2023-05-01,15759557.0
BRONX,2023-06-01,18215565.0
BRONX,2023-07-01,28170877.0
BRONX,2023-08-01,21964675.0
BRONX,2023-09-01,19203067.0
BRONX,2023-10-01,14878361.0
BRONX,2023-11-01,18939129.0
BRONX,2023-12-01,17935078.0
BROOKLYN,2021-01-01,31486122.0
BROOKLYN,2021-02-01,27841727.0
BROOKLYN,2021-03-01,26334664.0
BROOKLYN,2021-04-01,27075757.0
BROOKLYN,2021-05-01,25254103.0
BROOKLYN,2021-06-01,31034439.0
BROOKLYN,2021-07-01,38691043.0
BROOKLYN,2021-08-01,39396278.0
BROOKLYN,2021-09-01,34666595.0
BROOKLYN,2021-10-01,28578282.0
BROOKLYN,2021-11-01,28872356.0
BROOKLYN,2021-12-01,28548381.0
BROOKLYN,2022-01-01,30396723.0
BROOKLYN,2022-02-01,26858065.0
BROOKLYN,2022-03-01,25054549.0
BROOKLYN,2022-04-01,26195277.0
BROOKLYN,2022-05-01,24371555.0
BROOKLYN,2022-06-01,28304905.0
BROOKLYN,2022-07-01,40378331.0
BROOKLYN,2022-08-01,38504324.0
BROOKLYN,2022-09-01,34052770.0
BROOKLYN,2022-10-01,26826679.0
BROOKLYN,2022-11-01,25070209.0
BROOKLYN,2022-12-01,27110509.0
BROOKLYN,2023-01-01,39290067.0
BROOKLYN,2023-02-01,32053711.0
BROOKLYN,2023-03-01,32809052.0
BROOKLYN,2023-04-01,30376961.0
BROOKLYN,2023-05-01,30417765.0
BROOKLYN,2023-06-01,34339317.0
BROOKLYN,2023-07-01,52432007.0
BROOKLYN,2023-08-01,49983023.0
BROOKLYN,2023-09-01,46294805.0
BROOKLYN,2023-10-01,35380553.5
BROOKLYN,2023-11-01,36162599.0
BROOKLYN,2023-12-01,38516655.01
FHA,2021-01-01,2412.0
FHA,2021-02-01,2142.0
FHA,2021-03-01,2017.0
FHA,2021-04-01,1884.0
FHA,2021-05-01,1739.0
FHA,2021-06-01,1933.0
FHA,2021-07-01,1520.0
FHA,2021-08-01,1677.0
FHA,2021-09-01,1616.0
FHA,2021-10-01,1694.0
FHA,2021-11-01,1893.0
FHA,2021-12-01,2061.0
FHA,2022-01-01,2143.0
FHA,2022-02-01,2575.0
FHA,2022-03-01,1912.0
FHA,2022-04-01,1758.0
FHA,2022-05-01,1462.0
FHA,2022-06-01,1291.0
FHA,2022-07-01,1464.0
FHA,2022-08-01,1403.0
FHA,2022-09-01,1480.0
FHA,2022-10-01,1803.0
FHA,2022-11-01,1660.0
FHA,2022-12-01,2685.0
FHA,2023-01-01,828120.0
FHA,2023-02-01,730280.0
FHA,2023-03-01,747040.0
FHA,2023-04-01,720840.0
FHA,2023-05-01,689800.0
FHA,2023-06-01,749600.0
FHA,2023-07-01,1223920.0
FHA,2023-08-01,962800.0
FHA,2023-09-01,900560.0
FHA,2023-10-01,690210.0
FHA,2023-11-01,747289.0
FHA,2023-12-01,721297.0
MANHATTAN,2021-01-01,28468259.0
MANHATTAN,2021-02-01,25001248.0
MANHATTAN,2021-03-01,23749824.0
MANHATTAN,2021-04-01,24705892.0
MANHATTAN,2021-05-01,23098287.0
MANHATTAN,2021-06-01,30405600.0
MANHATTAN,2021-07-01,37694637.0
MANHATTAN,2021-08-01,38835642.0
MANHATTAN,2021-09-01,34014722.0
MANHATTAN,2021-10-01,25330020.0
MANHATTAN,2021-11-01,25052351.0
MANHATTAN,2021-12-01,25580203.0
MANHATTAN,2022-01-01,26954391.0
MANHATTAN,2022-02-01,24301997.0
MANHATTAN,2022-03-01,22977474.0
MANHATTAN,2022-04-01,24078675.0
MANHATTAN,2022-05-01,23016682.0
MANHATTAN,2022-06-01,27969033.0
MANHATTAN,2022-07-01,40616970.0
MANHATTAN,2022-08-01,38093041.0
MANHATTAN,2022-09-01,32748206.0
MANHATTAN,2022-10-01,24473567.0
MANHATTAN,2022-11-01,22862565.0
MANHATTAN,2022-12-01,24607942.0
MANHATTAN,2023-01-01,19974354.0
MANHATTAN,2023-02-01,17902252.0
MANHATTAN,2023-03-01,18194662.0
MANHATTAN,2023-04-01,19647550.0
MANHATTAN,2023-05-01,16953889.0
MANHATTAN,2023-06-01,18654379.0
MANHATTAN,2023-07-01,28612309.0
MANHATTAN,2023-08-01,24960628.0
MANHATTAN,2023-09-01,25556438.0
MANHATTAN,2023-10-01,16713041.0
MANHATTAN,2023-11-01,17212639.0
MANHATTAN,2023-12-01,16442126.0
NON DEVELOPMENT FACILITY,2021-01-01,2040105.0
NON DEVELOPMENT FACILITY,2021-02-01,1879360.0
NON DEVELOPMENT FACILITY,2021-03-01,1762705.0
NON DEVELOPMENT FACILITY,2021-04-01,1797036.0
NON DEVELOPMENT FACILITY,2021-05-01,1722289.0
NON DEVELOPMENT FACILITY,2021-06-01,2080212.0
NON DEVELOPMENT FACILITY,2021-07-01,2359807.0
NON DEVELOPMENT FACILITY,2021-08-01,2351540.0
NON DEVELOPMENT FACILITY,2021-09-01,2210229.0
NON DEVELOPMENT FACILITY,2021-10-01,2125688.0
NON DEVELOPMENT FACILITY,2021-11-01,1903100.0
NON DEVELOPMENT FACILITY,2021-12-01,1891260.0
NON DEVELOPMENT FACILITY,2022-01-01,2003804.0
NON DEVELOPMENT FACILITY,2022-02-01,1801342.0
NON DEVELOPMENT FACILITY,2022-03-01,1711285.0
NON DEVELOPMENT FACILITY,2022-04-01,1800638.0
NON DEVELOPMENT FACILITY,2022-05-01,1786465.0
NON DEVELOPMENT FACILITY,2022-06-01,2103585.0
NON DEVELOPMENT FACILITY,2022-07-01,2368354.0
NON DEVELOPMENT FACILITY,2022-08-01,2196633.0
NON DEVELOPMENT FACILITY,2022-09-01,2157594.0
NON DEVELOPMENT FACILITY,2022-10-01,1954656.0
NON DEVELOPMENT FACILITY,2022-11-01,1757092.0
NON DEVELOPMENT FACILITY,2022-12-01,1887377.0
NON DEVELOPMENT FACILITY,2023-01-01,651840.0
NON DEVELOPMENT FACILITY,2023-02-01,434520.0
NON DEVELOPMENT FACILITY,2023-03-01,349440.0
NON DEVELOPMENT FACILITY,2023-04-01,327360.0
NON DEVELOPMENT FACILITY,2023-05-01,470960.0
NON DEVELOPMENT FACILITY,2023-06-01,1257760.0
NON DEVELOPMENT FACILITY,2023-07-01,1990160.0
