Date,Total_Generation,Hydroelectric,Wind,Solar
2021-01-01,10773000000.0,2571000000.0,262000000.0,62000000.0
2021-02-01,9375000000.0,2074000000.0,318000000.0,46000000.0
2021-03-01,9909000000.0,2422000000.0,574000000.0,109000000.0
2021-04-01,8733000000.0,2304000000.0,328000000.0,113000000.0
2021-05-01,9333000000.0,2363000000.0,277000000.0,126000000.0
2021-06-01,11097000000.0,2337000000.0,379000000.0,126000000.0
2021-07-01,11679000000.0,2429000000.0,204000000.0,114000000.0
2021-08-01,12373000000.0,2439000000.0,212000000.0,109000000.0
2021-09-01,9893000000.0,2267000000.0,332000000.0,109000000.0
2021-10-01,9574000000.0,2368000000.0,344000000.0,87000000.0
2021-11-01,9875000000.0,2481000000.0,408000000.0,83000000.0
2021-12-01,10293000000.0,2639000000.0,514000000.0,57000000.0
2022-01-01,10750000000.0,2412000000.0,360000000.0,77000000.0
2022-02-01,9136000000.0,2210000000.0,461000000.0,98000000.0
2022-03-01,8950000000.0,2518000000.0,503000000.0,141000000.0
2022-04-01,9246000000.0,2182000000.0,443000000.0,166000000.0
2022-05-01,10213000000.0,2298000000.0,296000000.0,167000000.0
2022-06-01,10431000000.0,2334000000.0,331000000.0,181000000.0
2022-07-01,12684000000.0,2391000000.0,309000000.0,189000000.0
2022-08-01,12326000000.0,2293000000.0,218000000.0,195000000.0
2022-09-01,9014000000.0,2151000000.0,232000000.0,166000000.0
2022-10-01,9235000000.0,2119000000.0,400000000.0,168000000.0
2022-11-01,9693000000.0,2150000000.0,492000000.0,121000000.0
2022-12-01,10405000000.0,2328000000.0,520000000.0,97000000.0
2023-01-01,9909000000.0,2662000000.0,298000000.0,60000000.0
2023-02-01,9290000000.0,2259000000.0,544000000.0,116000000.0
2023-03-01,9303000000.0,2448000000.0,526000000.0,171000000.0
2023-04-01,8293000000.0,2360000000.0,464000000.0,227000000.0
2023-05-01,9396000000.0,2415000000.0,349000000.0,311000000.0
2023-06-01,10089000000.0,2079000000.0,226000000.0,244000000.0
2023-07-01,12985000000.0,2383000000.0,237000000.0,263000000.0
2023-08-01,11397000000.0,2460000000.0,302000000.0,243000000.0
2023-09-01,10113000000.0,2164000000.0,212000000.0,223000000.0
2023-10-01,9488000000.0,2240000000.0,466000000.0,160000000.0
2023-11-01,10412000000.0,2313000000.0,626000000.0,125000000.0
2023-12-01,10415000000.0,2586000000.0,547000000.0,74000000.0
